,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
0,jamestown,24,AU,1551928564,49,-33.21,138.6,19.54,4.37
1,terney,0,RU,1551928824,77,45.05,136.61,-0.69,4.97
2,llanes,0,ES,1551928824,60,43.42,-4.75,11.11,2.52
3,georgetown,20,GY,1551924000,88,6.8,-58.16,25.0,1.0
4,zemio,68,CF,1551928825,89,5.02,25.13,20.92,2.22
5,busselton,92,AU,1551928613,62,-33.64,115.35,23.33,2.67
6,vila velha,75,BR,1551928690,88,-3.71,-38.6,26.11,1.5
7,faanui,48,PF,1551928621,99,-16.48,-151.75,29.17,6.12
8,albany,40,US,1551928516,56,42.65,-73.75,-9.44,4.1
9,mataura,92,NZ,1551928206,92,-46.19,168.86,12.78,1.79
10,hays,1,US,1551928548,74,38.88,-99.33,1.67,7.2
11,cidreira,24,BR,1551928739,89,-30.17,-50.22,24.49,4.12
12,chapais,1,CA,1551927600,76,49.78,-74.86,-23.0,2.6
13,anamur,0,TR,1551923400,93,36.08,32.84,7.0,2.6
14,esperance,20,TT,1551928656,83,10.24,-61.45,25.0,3.07
15,rikitea,76,PF,1551928529,100,-23.12,-134.97,26.49,8.07
16,raudeberg,76,NO,1551928804,65,61.99,5.14,5.0,3.6
17,taltal,0,CL,1551928828,95,-25.41,-70.49,13.57,0.52
18,cape town,75,ZA,1551928522,82,-33.93,18.42,20.0,1.5
19,iida,32,JP,1551928826,61,35.45,137.9,14.44,0.89
20,mar del plata,92,AR,1551928720,92,-46.43,-67.52,11.49,5.32
21,ballina,88,IE,1551928691,87,54.11,-9.15,7.22,1.79
22,berlevag,76,NO,1551928717,100,70.86,29.09,-3.44,6.02
23,deutschlandsberg,75,AT,1551928823,43,46.81,15.21,13.0,4.1
24,kodiak,40,US,1551928709,67,39.95,-94.76,0.0,2.6
25,sorocaba,0,BR,1551928684,88,-23.5,-47.46,23.33,3.1
26,hayden,90,US,1551928807,82,47.77,-116.79,2.22,2.1
